Ind	Pop	Cont	Name	Gender
HG00096	GBR	EUR	British in England and Scotland	male
HG00097	GBR	EUR	British in England and Scotland	female
HG00099	GBR	EUR	British in England and Scotland	female
HG00100	GBR	EUR	British in England and Scotland	female
HG00101	GBR	EUR	British in England and Scotland	male
HG00102	GBR	EUR	British in England and Scotland	female
HG00103	GBR	EUR	British in England and Scotland	male
HG00105	GBR	EUR	British in England and Scotland	male
HG00106	GBR	EUR	British in England and Scotland	female
HG00108	GBR	EUR	British in England and Scotland	male
HG00109	GBR	EUR	British in England and Scotland	male
HG00110	GBR	EUR	British in England and Scotland	female
HG00111	GBR	EUR	British in England and Scotland	female
HG00112	GBR	EUR	British in England and Scotland	male
HG00114	GBR	EUR	British in England and Scotland	male
HG00115	GBR	EUR	British in England and Scotland	male
HG00116	GBR	EUR	British in England and Scotland	male
HG00117	GBR	EUR	British in England and Scotland	male
HG00118	GBR	EUR	British in England and Scotland	female
HG00119	GBR	EUR	British in England and Scotland	male
HG00120	GBR	EUR	British in England and Scotland	female
HG00121	GBR	EUR	British in England and Scotland	female
HG00122	GBR	EUR	British in England and Scotland	female
HG00123	GBR	EUR	British in England and Scotland	female
HG00125	GBR	EUR	British in England and Scotland	female
HG00126	GBR	EUR	British in England and Scotland	male
HG00127	GBR	EUR	British in England and Scotland	female
HG00128	GBR	EUR	British in England and Scotland	female
HG00129	GBR	EUR	British in England and Scotland	male
HG00130	GBR	EUR	British in England and Scotland	female
HG00131	GBR	EUR	British in England and Scotland	male
HG00132	GBR	EUR	British in England and Scotland	female
HG00133	GBR	EUR	British in England and Scotland	female
HG00136	GBR	EUR	British in England and Scotland	male
HG00137	GBR	EUR	British in England and Scotland	female
HG00138	GBR	EUR	British in England and Scotland	male
HG00139	GBR	EUR	British in England and Scotland	male
HG00141	GBR	EUR	British in England and Scotland	male
HG00142	GBR	EUR	British in England and Scotland	male
HG00143	GBR	EUR	British in England and Scotland	male
HG00145	GBR	EUR	British in England and Scotland	male
HG00146	GBR	EUR	British in England and Scotland	female
HG00148	GBR	EUR	British in England and Scotland	male
HG00149	GBR	EUR	British in England and Scotland	male
HG00150	GBR	EUR	British in England and Scotland	female
HG00151	GBR	EUR	British in England and Scotland	male
HG00154	GBR	EUR	British in England and Scotland	female
HG00155	GBR	EUR	British in England and Scotland	male
HG00157	GBR	EUR	British in England and Scotland	male
HG00158	GBR	EUR	British in England and Scotland	female
HG00159	GBR	EUR	British in England and Scotland	male
HG00160	GBR	EUR	British in England and Scotland	male
HG00171	FIN	EUR	Finnish in Finland	female
HG00173	FIN	EUR	Finnish in Finland	female
HG00174	FIN	EUR	Finnish in Finland	female
HG00176	FIN	EUR	Finnish in Finland	female
HG00177	FIN	EUR	Finnish in Finland	female
HG00178	FIN	EUR	Finnish in Finland	female
HG00179	FIN	EUR	Finnish in Finland	female
HG00180	FIN	EUR	Finnish in Finland	female
HG00181	FIN	EUR	Finnish in Finland	male
HG00182	FIN	EUR	Finnish in Finland	male
HG00183	FIN	EUR	Finnish in Finland	male
HG00185	FIN	EUR	Finnish in Finland	male
HG00186	FIN	EUR	Finnish in Finland	male
HG00187	FIN	EUR	Finnish in Finland	male
HG00188	FIN	EUR	Finnish in Finland	male
HG00189	FIN	EUR	Finnish in Finland	male
HG00231	GBR	EUR	British in England and Scotland	female
HG00232	GBR	EUR	British in England and Scotland	female
HG00233	GBR	EUR	British in England and Scotland	female
HG00234	GBR	EUR	British in England and Scotland	male
HG00235	GBR	EUR	British in England and Scotland	female
HG00236	GBR	EUR	British in England and Scotland	female
HG00238	GBR	EUR	British in England and Scotland	female
HG00239	GBR	EUR	British in England and Scotland	female
HG00240	GBR	EUR	British in England and Scotland	female
HG00242	GBR	EUR	British in England and Scotland	male
HG00243	GBR	EUR	British in England and Scotland	male
HG00244	GBR	EUR	British in England and Scotland	male
HG00245	GBR	EUR	British in England and Scotland	female
HG00246	GBR	EUR	British in England and Scotland	male
HG00250	GBR	EUR	British in England and Scotland	female
HG00251	GBR	EUR	British in England and Scotland	male
HG00252	GBR	EUR	British in England and Scotland	male
HG00253	GBR	EUR	British in England and Scotland	female
HG00255	GBR	EUR	British in England and Scotland	female
HG00256	GBR	EUR	British in England and Scotland	male
HG00257	GBR	EUR	British in England and Scotland	female
HG00258	GBR	EUR	British in England and Scotland	female
HG00259	GBR	EUR	British in England and Scotland	female
HG00260	GBR	EUR	British in England and Scotland	male
HG00261	GBR	EUR	British in England and Scotland	female
HG00262	GBR	EUR	British in England and Scotland	female
HG00263	GBR	EUR	British in England and Scotland	female
HG00264	GBR	EUR	British in England and Scotland	male
HG00265	GBR	EUR	British in England and Scotland	male
HG00266	FIN	EUR	Finnish in Finland	female
HG00267	FIN	EUR	Finnish in Finland	male
HG00268	FIN	EUR	Finnish in Finland	female
HG00269	FIN	EUR	Finnish in Finland	female
HG00271	FIN	EUR	Finnish in Finland	male
HG00272	FIN	EUR	Finnish in Finland	female
HG00273	FIN	EUR	Finnish in Finland	male
HG00274	FIN	EUR	Finnish in Finland	female
HG00275	FIN	EUR	Finnish in Finland	female
HG00276	FIN	EUR	Finnish in Finland	female
HG00277	FIN	EUR	Finnish in Finland	male
HG00278	FIN	EUR	Finnish in Finland	male
HG00280	FIN	EUR	Finnish in Finland	male
HG00281	FIN	EUR	Finnish in Finland	female
HG00282	FIN	EUR	Finnish in Finland	female
HG00284	FIN	EUR	Finnish in Finland	male
HG00285	FIN	EUR	Finnish in Finland	female
HG00306	FIN	EUR	Finnish in Finland	female
HG00308	FIN	EUR	Finnish in Finland	male
HG00309	FIN	EUR	Finnish in Finland	female
HG00310	FIN	EUR	Finnish in Finland	male
HG00311	FIN	EUR	Finnish in Finland	male
HG00313	FIN	EUR	Finnish in Finland	female
HG00315	FIN	EUR	Finnish in Finland	female
HG00319	FIN	EUR	Finnish in Finland	female
HG00320	FIN	EUR	Finnish in Finland	female
HG00321	FIN	EUR	Finnish in Finland	male
HG00323	FIN	EUR	Finnish in Finland	female
HG00324	FIN	EUR	Finnish in Finland	female
HG00325	FIN	EUR	Finnish in Finland	male
HG00326	FIN	EUR	Finnish in Finland	female
HG00327	FIN	EUR	Finnish in Finland	female
HG00328	FIN	EUR	Finnish in Finland	female
HG00329	FIN	EUR	Finnish in Finland	male
HG00330	FIN	EUR	Finnish in Finland	female
HG00331	FIN	EUR	Finnish in Finland	female
HG00332	FIN	EUR	Finnish in Finland	female
HG00334	FIN	EUR	Finnish in Finland	female
HG00335	FIN	EUR	Finnish in Finland	male
HG00336	FIN	EUR	Finnish in Finland	male
HG00337	FIN	EUR	Finnish in Finland	female
HG00338	FIN	EUR	Finnish in Finland	male
HG00339	FIN	EUR	Finnish in Finland	female
HG00341	FIN	EUR	Finnish in Finland	male
HG00342	FIN	EUR	Finnish in Finland	male
HG00343	FIN	EUR	Finnish in Finland	female
HG00344	FIN	EUR	Finnish in Finland	female
HG00345	FIN	EUR	Finnish in Finland	male
HG00346	FIN	EUR	Finnish in Finland	female
HG00349	FIN	EUR	Finnish in Finland	female
HG00350	FIN	EUR	Finnish in Finland	female
HG00351	FIN	EUR	Finnish in Finland	male
HG00353	FIN	EUR	Finnish in Finland	female
HG00355	FIN	EUR	Finnish in Finland	female
HG00356	FIN	EUR	Finnish in Finland	female
HG00358	FIN	EUR	Finnish in Finland	male
HG00360	FIN	EUR	Finnish in Finland	male
HG00361	FIN	EUR	Finnish in Finland	female
HG00362	FIN	EUR	Finnish in Finland	female
HG00364	FIN	EUR	Finnish in Finland	female
HG00365	FIN	EUR	Finnish in Finland	female
HG00366	FIN	EUR	Finnish in Finland	male
HG00367	FIN	EUR	Finnish in Finland	female
HG00369	FIN	EUR	Finnish in Finland	male
HG00371	FIN	EUR	Finnish in Finland	male
HG00372	FIN	EUR	Finnish in Finland	male
HG00373	FIN	EUR	Finnish in Finland	female
HG00375	FIN	EUR	Finnish in Finland	male
HG00376	FIN	EUR	Finnish in Finland	female
HG00378	FIN	EUR	Finnish in Finland	female
HG00379	FIN	EUR	Finnish in Finland	female
HG00380	FIN	EUR	Finnish in Finland	female
HG00381	FIN	EUR	Finnish in Finland	female
HG00382	FIN	EUR	Finnish in Finland	male
HG00383	FIN	EUR	Finnish in Finland	female
HG00384	FIN	EUR	Finnish in Finland	female
HG01334	GBR	EUR	British in England and Scotland	male
HG01789	GBR	EUR	British in England and Scotland	male
HG01790	GBR	EUR	British in England and Scotland	female
HG01791	GBR	EUR	British in England and Scotland	male
HG02215	GBR	EUR	British in England and Scotland	female
NA06984	CEU	EUR	Utah residents with Northern and Western European ancestry	male
NA06985	CEU	EUR	Utah residents with Northern and Western European ancestry	female
NA06986	CEU	EUR	Utah residents with Northern and Western European ancestry	male
NA06989	CEU	EUR	Utah residents with Northern and Western European ancestry	female
NA06994	CEU	EUR	Utah residents with Northern and Western European ancestry	male
NA07037	CEU	EUR	Utah residents with Northern and Western European ancestry	female
NA07048	CEU	EUR	Utah residents with Northern and Western European ancestry	male
NA07051	CEU	EUR	Utah residents with Northern and Western European ancestry	male
NA07056	CEU	EUR	Utah residents with Northern and Western European ancestry	female
NA07347	CEU	EUR	Utah residents with Northern and Western European ancestry	male
NA07357	CEU	EUR	Utah residents with Northern and Western European ancestry	male
NA10847	CEU	EUR	Utah residents with Northern and Western European ancestry	female
NA10851	CEU	EUR	Utah residents with Northern and Western European ancestry	male
NA11829	CEU	EUR	Utah residents with Northern and Western European ancestry	male
NA11830	CEU	EUR	Utah residents with Northern and Western European ancestry	female
NA11831	CEU	EUR	Utah residents with Northern and Western European ancestry	male
NA11832	CEU	EUR	Utah residents with Northern and Western European ancestry	female
NA11840	CEU	EUR	Utah residents with Northern and Western European ancestry	female
NA11843	CEU	EUR	Utah residents with Northern and Western European ancestry	male
NA11881	CEU	EUR	Utah residents with Northern and Western European ancestry	male
NA11892	CEU	EUR	Utah residents with Northern and Western European ancestry	female
NA11893	CEU	EUR	Utah residents with Northern and Western European ancestry	male
NA11894	CEU	EUR	Utah residents with Northern and Western European ancestry	female
NA11918	CEU	EUR	Utah residents with Northern and Western European ancestry	female
NA11920	CEU	EUR	Utah residents with Northern and Western European ancestry	female
NA11930	CEU	EUR	Utah residents with Northern and Western European ancestry	male
NA11931	CEU	EUR	Utah residents with Northern and Western European ancestry	female
NA11992	CEU	EUR	Utah residents with Northern and Western European ancestry	male
NA11994	CEU	EUR	Utah residents with Northern and Western European ancestry	male
NA11995	CEU	EUR	Utah residents with Northern and Western European ancestry	female
NA12004	CEU	EUR	Utah residents with Northern and Western European ancestry	female
NA12005	CEU	EUR	Utah residents with Northern and Western European ancestry	male
NA12006	CEU	EUR	Utah residents with Northern and Western European ancestry	female
NA12043	CEU	EUR	Utah residents with Northern and Western European ancestry	male
NA12044	CEU	EUR	Utah residents with Northern and Western European ancestry	female
NA12045	CEU	EUR	Utah residents with Northern and Western European ancestry	male
NA12058	CEU	EUR	Utah residents with Northern and Western European ancestry	female
NA12144	CEU	EUR	Utah residents with Northern and Western European ancestry	male
NA12154	CEU	EUR	Utah residents with Northern and Western European ancestry	male
NA12155	CEU	EUR	Utah residents with Northern and Western European ancestry	male
NA12156	CEU	EUR	Utah residents with Northern and Western European ancestry	female
NA12234	CEU	EUR	Utah residents with Northern and Western European ancestry	female
NA12249	CEU	EUR	Utah residents with Northern and Western European ancestry	female
NA12272	CEU	EUR	Utah residents with Northern and Western European ancestry	male
NA12273	CEU	EUR	Utah residents with Northern and Western European ancestry	female
NA12275	CEU	EUR	Utah residents with Northern and Western European ancestry	female
NA12282	CEU	EUR	Utah residents with Northern and Western European ancestry	male
NA12283	CEU	EUR	Utah residents with Northern and Western European ancestry	female
NA12286	CEU	EUR	Utah residents with Northern and Western European ancestry	male
NA12287	CEU	EUR	Utah residents with Northern and Western European ancestry	female
NA12340	CEU	EUR	Utah residents with Northern and Western European ancestry	male
NA12341	CEU	EUR	Utah residents with Northern and Western European ancestry	female
NA12342	CEU	EUR	Utah residents with Northern and Western European ancestry	male
NA12347	CEU	EUR	Utah residents with Northern and Western European ancestry	male
NA12348	CEU	EUR	Utah residents with Northern and Western European ancestry	female
NA12383	CEU	EUR	Utah residents with Northern and Western European ancestry	female
NA12399	CEU	EUR	Utah residents with Northern and Western European ancestry	male
NA12400	CEU	EUR	Utah residents with Northern and Western European ancestry	female
NA12413	CEU	EUR	Utah residents with Northern and Western European ancestry	male
NA12489	CEU	EUR	Utah residents with Northern and Western European ancestry	female
NA12546	CEU	EUR	Utah residents with Northern and Western European ancestry	male
NA12716	CEU	EUR	Utah residents with Northern and Western European ancestry	male
NA12717	CEU	EUR	Utah residents with Northern and Western European ancestry	female
NA12718	CEU	EUR	Utah residents with Northern and Western European ancestry	female
NA12749	CEU	EUR	Utah residents with Northern and Western European ancestry	female
NA12750	CEU	EUR	Utah residents with Northern and Western European ancestry	male
