"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"MODULE_212"	"MODULE_212"	"5/12"	"328/38039"	3.48483538464767e-08	5.25861659543334e-05	3.1620295805961e-05	"37/13/10/9/2"	5
"SMID_BREAST_CANCER_LUMINAL_B_UP"	"SMID_BREAST_CANCER_LUMINAL_B_UP"	"4/12"	"168/38039"	1.76756312485958e-07	0.000133362637770655	8.01915480857345e-05	"21/18/12/9"	4
"KEGG_ABC_TRANSPORTERS"	"KEGG_ABC_TRANSPORTERS"	"3/12"	"44/38039"	3.15340166561921e-07	0.000158616103780646	9.53765696759214e-05	"21/20/19"	3
"GO_RESPONSE_TO_XENOBIOTIC_STIMULUS"	"GO_RESPONSE_TO_XENOBIOTIC_STIMULUS"	"4/12"	"280/38039"	1.35778771984111e-06	0.000512225417310058	0.00030800342486922	"18/13/10/9"	4
"REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT"	"REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT"	"3/12"	"103/38039"	4.16693863677455e-06	0.000830989429381083	0.000499677645095388	"23/21/20"	3
"GO_REGULATION_OF_LIPID_METABOLIC_PROCESS"	"GO_REGULATION_OF_LIPID_METABOLIC_PROCESS"	"4/12"	"383/38039"	4.69841714587112e-06	0.000830989429381083	0.000499677645095388	"37/19/13/12"	4
"MODULE_377"	"MODULE_377"	"2/12"	"11/38039"	5.00961949301343e-06	0.000830989429381083	0.000499677645095388	"10/9"	2
"RUAN_RESPONSE_TO_TNF_UP"	"RUAN_RESPONSE_TO_TNF_UP"	"2/12"	"11/38039"	5.00961949301343e-06	0.000830989429381083	0.000499677645095388	"19/12"	2
"HALLMARK_BILE_ACID_METABOLISM"	"HALLMARK_BILE_ACID_METABOLISM"	"3/12"	"112/38039"	5.36164007310485e-06	0.000830989429381083	0.000499677645095388	"21/20/19"	3
"GO_XENOBIOTIC_METABOLIC_PROCESS"	"GO_XENOBIOTIC_METABOLIC_PROCESS"	"3/12"	"113/38039"	5.50688820000718e-06	0.000830989429381083	0.000499677645095388	"13/10/9"	3
"GO_PRIMARY_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY"	"GO_PRIMARY_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY"	"3/12"	"124/38039"	7.27988784737401e-06	0.000961445872252698	0.000578121685244202	"21/20/19"	3
"GO_ATPASE_ACTIVITY"	"GO_ATPASE_ACTIVITY"	"4/12"	"446/38039"	8.56702612246193e-06	0.000961445872252698	0.000578121685244202	"23/21/20/19"	4
"GO_ATPASE_ACTIVITY_COUPLED_TO_MOVEMENT_OF_SUBSTANCES"	"GO_ATPASE_ACTIVITY_COUPLED_TO_MOVEMENT_OF_SUBSTANCES"	"3/12"	"131/38039"	8.58424807561442e-06	0.000961445872252698	0.000578121685244202	"21/20/19"	3
"MODULE_24"	"MODULE_24"	"4/12"	"452/38039"	9.0298587433689e-06	0.000961445872252698	0.000578121685244202	"19/18/13/12"	4
"RUAN_RESPONSE_TO_TNF_TROGLITAZONE_UP"	"RUAN_RESPONSE_TO_TNF_TROGLITAZONE_UP"	"2/12"	"15/38039"	9.55711602636877e-06	0.000961445872252698	0.000578121685244202	"19/12"	2
"VECCHI_GASTRIC_CANCER_ADVANCED_VS_EARLY_DN"	"VECCHI_GASTRIC_CANCER_ADVANCED_VS_EARLY_DN"	"3/12"	"145/38039"	1.1638151610234e-05	0.00105454221239615	0.000634100929221501	"13/10/9"	3
"GO_LIPID_TRANSPORTER_ACTIVITY"	"GO_LIPID_TRANSPORTER_ACTIVITY"	"3/12"	"146/38039"	1.18801972238135e-05	0.00105454221239615	0.000634100929221501	"21/20/19"	3
"REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS"	"REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS"	"2/12"	"18/38039"	1.39187624745295e-05	0.00116685625411472	0.000701635862751137	"21/20"	2
"REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY"	"REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY"	"2/12"	"19/38039"	1.55535375242259e-05	0.0012011154924182	0.000722236095332906	"19/2"	2
"OHGUCHI_LIVER_HNF4A_TARGETS_DN"	"OHGUCHI_LIVER_HNF4A_TARGETS_DN"	"3/12"	"161/38039"	1.59193570897044e-05	0.0012011154924182	0.000722236095332906	"18/13/12"	3
"GO_CELLULAR_RESPONSE_TO_XENOBIOTIC_STIMULUS"	"GO_CELLULAR_RESPONSE_TO_XENOBIOTIC_STIMULUS"	"3/12"	"169/38039"	1.840252698996e-05	0.00132235301084999	0.000795136755155165	"13/10/9"	3
"MODULE_249"	"MODULE_249"	"2/12"	"22/38039"	2.0999873866197e-05	0.00142190630992602	0.000854998597297778	"10/9"	2
"CHIANG_LIVER_CANCER_SUBCLASS_PROLIFERATION_DN"	"CHIANG_LIVER_CANCER_SUBCLASS_PROLIFERATION_DN"	"3/12"	"179/38039"	2.18493903185733e-05	0.00142190630992602	0.000854998597297778	"18/13/10"	3
"GO_INTRACELLULAR_STEROL_TRANSPORT"	"GO_INTRACELLULAR_STEROL_TRANSPORT"	"2/12"	"23/38039"	2.29958308936087e-05	0.00142190630992602	0.000854998597297778	"20/19"	2
"GSE3920_UNTREATED_VS_IFNG_TREATED_FIBROBLAST_UP"	"GSE3920_UNTREATED_VS_IFNG_TREATED_FIBROBLAST_UP"	"3/12"	"185/38039"	2.41085139605512e-05	0.00142190630992602	0.000854998597297778	"23/12/9"	3
"ATF2_S_UP.V1_DN"	"ATF2_S_UP.V1_DN"	"3/12"	"186/38039"	2.44993797601567e-05	0.00142190630992602	0.000854998597297778	"13/12/2"	3
"AFFAR_YY1_TARGETS_UP"	"AFFAR_YY1_TARGETS_UP"	"3/12"	"190/38039"	2.61045984012117e-05	0.00145895699953439	0.00087727734198224	"21/19/18"	3
"RAY_TUMORIGENESIS_BY_ERBB2_CDC25A_UP"	"RAY_TUMORIGENESIS_BY_ERBB2_CDC25A_UP"	"3/12"	"193/38039"	2.73529414265913e-05	0.00147412816474022	0.000886399831192545	"21/20/2"	3
"GSE9316_IL6_KO_VS_IFNG_KO_INVIVO_EXPANDED_CD4_TCELL_UP"	"GSE9316_IL6_KO_VS_IFNG_KO_INVIVO_EXPANDED_CD4_TCELL_UP"	"3/12"	"200/38039"	3.04172463518922e-05	0.00158274568086225	0.000951712027416735	"37/21/18"	3
"VANTVEER_BREAST_CANCER_ESR1_UP"	"VANTVEER_BREAST_CANCER_ESR1_UP"	"3/12"	"208/38039"	3.41865110203138e-05	0.00171958150432178	0.00103399201752668	"21/18/9"	3
"MODULE_184"	"MODULE_184"	"2/12"	"29/38039"	3.68636127394873e-05	0.0017944255362544	0.00107899606728143	"37/18"	2
"MODULE_221"	"MODULE_221"	"2/12"	"30/38039"	3.94898058403145e-05	0.00181726945547532	0.00109273221765528	"37/18"	2
"REACTOME_BIOLOGICAL_OXIDATIONS"	"REACTOME_BIOLOGICAL_OXIDATIONS"	"3/12"	"221/38039"	4.09457663924193e-05	0.00181726945547532	0.00109273221765528	"13/10/9"	3
"RIGGINS_TAMOXIFEN_RESISTANCE_DN"	"RIGGINS_TAMOXIFEN_RESISTANCE_DN"	"3/12"	"221/38039"	4.09457663924193e-05	0.00181726945547532	0.00109273221765528	"18/12/9"	3
"MODULE_176"	"MODULE_176"	"3/12"	"230/38039"	4.61055272677935e-05	0.00198780687563144	0.00119527712796505	"13/10/2"	3
"GO_RESPONSE_TO_STEROL"	"GO_RESPONSE_TO_STEROL"	"2/12"	"33/38039"	4.79072569600062e-05	0.00200445259184408	0.00120528627126336	"20/19"	2
"GO_RESPONSE_TO_ALCOHOL"	"GO_RESPONSE_TO_ALCOHOL"	"3/12"	"235/38039"	4.91482742864353e-05	0.00200445259184408	0.00120528627126336	"20/19/18"	3
"YANG_BREAST_CANCER_ESR1_UP"	"YANG_BREAST_CANCER_ESR1_UP"	"2/12"	"36/38039"	5.71320193386605e-05	0.00223137631086358	0.00134173651422301	"18/9"	2
"HSIAO_LIVER_SPECIFIC_GENES"	"HSIAO_LIVER_SPECIFIC_GENES"	"3/12"	"248/38039"	5.76697654895159e-05	0.00223137631086358	0.00134173651422301	"13/12/10"	3
"GO_ORGANIC_HYDROXY_COMPOUND_TRANSPORT"	"GO_ORGANIC_HYDROXY_COMPOUND_TRANSPORT"	"3/12"	"256/38039"	6.33665826265315e-05	0.0023905043295859	0.00143742090063342	"20/19/18"	3
"MODULE_112"	"MODULE_112"	"3/12"	"260/38039"	6.63483634427174e-05	0.00241306392219225	0.00145098608414755	"13/10/2"	3
"chr8p22"	"chr8p22"	"2/12"	"39/38039"	6.71628129437206e-05	0.00241306392219225	0.00145098608414755	"10/9"	2
"BURTON_ADIPOGENESIS_PEAK_AT_16HR"	"BURTON_ADIPOGENESIS_PEAK_AT_16HR"	"2/12"	"41/38039"	7.42971723097247e-05	0.00254805529580397	0.00153215699834887	"23/12"	2
"GO_INTRACELLULAR_LIPID_TRANSPORT"	"GO_INTRACELLULAR_LIPID_TRANSPORT"	"2/12"	"41/38039"	7.42971723097247e-05	0.00254805529580397	0.00153215699834887	"20/19"	2
"ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_DN"	"ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_DN"	"3/12"	"274/38039"	7.75064471592261e-05	0.00259904952807272	0.00156282005733925	"37/10/2"	3
"GOBERT_CORE_OLIGODENDROCYTE_DIFFERENTIATION"	"GOBERT_CORE_OLIGODENDROCYTE_DIFFERENTIATION"	"2/12"	"43/38039"	8.17888209248415e-05	0.00268302892990404	0.00161331724570282	"19/18"	2
"GTGCCAA_MIR96"	"GTGCCAA_MIR96"	"3/12"	"304/38039"	0.000105404833291182	0.00338416794545519	0.0020349152586114	"20/19/18"	3
"KEGG_DRUG_METABOLISM_OTHER_ENZYMES"	"KEGG_DRUG_METABOLISM_OTHER_ENZYMES"	"2/12"	"51/38039"	0.000115320746760425	0.00362539597628086	0.00217996674797119	"10/9"	2
"YANG_BCL3_TARGETS_UP"	"YANG_BCL3_TARGETS_UP"	"3/12"	"324/38039"	0.00012723156413148	0.00391821286274293	0.00235603884600077	"37/19/2"	3
"GO_REGULATION_OF_STEROL_TRANSPORT"	"GO_REGULATION_OF_STEROL_TRANSPORT"	"2/12"	"61/38039"	0.000165229350941299	0.00490167509128946	0.00294739906434482	"20/19"	2
"GO_ATPASE_ACTIVITY_COUPLED"	"GO_ATPASE_ACTIVITY_COUPLED"	"3/12"	"357/38039"	0.000169350575804623	0.00490167509128946	0.00294739906434482	"21/20/19"	3
"GO_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY"	"GO_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY"	"3/12"	"359/38039"	0.000172159562517125	0.00490167509128946	0.00294739906434482	"21/20/19"	3
"MODULE_12"	"MODULE_12"	"3/12"	"359/38039"	0.000172159562517125	0.00490167509128946	0.00294739906434482	"21/18/12"	3
"MCMURRAY_TP53_HRAS_COOPERATION_RESPONSE_DN"	"MCMURRAY_TP53_HRAS_COOPERATION_RESPONSE_DN"	"2/12"	"65/38039"	0.000187670056768568	0.00524433547525499	0.00315344227942506	"19/18"	2
"GO_PLATELET_ALPHA_GRANULE_LUMEN"	"GO_PLATELET_ALPHA_GRANULE_LUMEN"	"2/12"	"67/38039"	0.000199419749178124	0.00547135275472343	0.00328994878069938	"12/2"	2
"REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY_REMODELING_AND_CLEARANCE"	"REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY_REMODELING_AND_CLEARANCE"	"2/12"	"71/38039"	0.000223975937807507	0.00603535160984871	0.00362908380432464	"19/2"	2
"GO_LIPID_LOCALIZATION"	"GO_LIPID_LOCALIZATION"	"3/12"	"408/38039"	0.000250770385805405	0.00663881600316415	0.00399194963184227	"21/20/19"	3
"REACTOME_ABC_TRANSPORTER_DISORDERS"	"REACTOME_ABC_TRANSPORTER_DISORDERS"	"2/12"	"77/38039"	0.000263446612754033	0.00685415411458337	0.00412143339734984	"21/19"	2
"GO_SECONDARY_ALCOHOL_METABOLIC_PROCESS"	"GO_SECONDARY_ALCOHOL_METABOLIC_PROCESS"	"2/12"	"85/38039"	0.000320979743392831	0.00820946496236918	0.00493638784664799	"37/19"	2
"GO_N_ACETYLTRANSFERASE_ACTIVITY"	"GO_N_ACETYLTRANSFERASE_ACTIVITY"	"2/12"	"89/38039"	0.000351841977490062	0.00884882573387506	0.00532083832625322	"10/9"	2
"GO_PLATELET_ALPHA_GRANULE"	"GO_PLATELET_ALPHA_GRANULE"	"2/12"	"91/38039"	0.000367795708210892	0.00909842169983993	0.00547092149228281	"12/2"	2
"GO_SERINE_TYPE_ENDOPEPTIDASE_INHIBITOR_ACTIVITY"	"GO_SERINE_TYPE_ENDOPEPTIDASE_INHIBITOR_ACTIVITY"	"2/12"	"93/38039"	0.000384097352175884	0.00934843394247434	0.00562125496732788	"12/2"	2
"GO_MULTICELLULAR_ORGANISMAL_HOMEOSTASIS"	"GO_MULTICELLULAR_ORGANISMAL_HOMEOSTASIS"	"3/12"	"477/38039"	0.000396255334529388	0.00942534588853155	0.00566750246305619	"37/18/12"	3
"GO_STEROL_METABOLIC_PROCESS"	"GO_STEROL_METABOLIC_PROCESS"	"2/12"	"96/38039"	0.000409201342717529	0.00942534588853155	0.00566750246305619	"37/19"	2
"GO_STEROL_HOMEOSTASIS"	"GO_STEROL_HOMEOSTASIS"	"2/12"	"97/38039"	0.000417742893820439	0.00942534588853155	0.00566750246305619	"20/19"	2
"GO_ORGANIC_HYDROXY_COMPOUND_METABOLIC_PROCESS"	"GO_ORGANIC_HYDROXY_COMPOUND_METABOLIC_PROCESS"	"3/12"	"486/38039"	0.000418487855885761	0.00942534588853155	0.00566750246305619	"37/19/18"	3
"PILON_KLF1_TARGETS_UP"	"PILON_KLF1_TARGETS_UP"	"3/12"	"486/38039"	0.000418487855885761	0.00942534588853155	0.00566750246305619	"19/13/2"	3
"GAUSSMANN_MLL_AF4_FUSION_TARGETS_E_UP"	"GAUSSMANN_MLL_AF4_FUSION_TARGETS_E_UP"	"2/12"	"98/38039"	0.000426371144751205	0.00946167731514072	0.00568934871169565	"19/12"	2
"SMID_BREAST_CANCER_RELAPSE_IN_BONE_UP"	"SMID_BREAST_CANCER_RELAPSE_IN_BONE_UP"	"2/12"	"99/38039"	0.0004350860491547	0.00951514272716583	0.00572149770208011	"18/9"	2
"GO_ACETYLTRANSFERASE_ACTIVITY"	"GO_ACETYLTRANSFERASE_ACTIVITY"	"2/12"	"108/38039"	0.000517411954662175	0.0110448498539965	0.00664131741072509	"10/9"	2
"GO_N_ACYLTRANSFERASE_ACTIVITY"	"GO_N_ACYLTRANSFERASE_ACTIVITY"	"2/12"	"109/38039"	0.000526990847904404	0.0110448498539965	0.00664131741072509	"10/9"	2
