"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO_XENOBIOTIC_METABOLIC_PROCESS"	"GO_XENOBIOTIC_METABOLIC_PROCESS"	"5/19"	"113/38039"	2.37964492011521e-09	4.4859790849719e-06	2.93019469491998e-06	"30/26/13/10/9"	5
"GO_RESPONSE_TO_XENOBIOTIC_STIMULUS"	"GO_RESPONSE_TO_XENOBIOTIC_STIMULUS"	"6/19"	"280/38039"	3.77448808159184e-09	4.4859790849719e-06	2.93019469491998e-06	"30/26/18/13/10/9"	6
"GO_CELLULAR_RESPONSE_TO_XENOBIOTIC_STIMULUS"	"GO_CELLULAR_RESPONSE_TO_XENOBIOTIC_STIMULUS"	"5/19"	"169/38039"	1.80344477793415e-08	1.42892941238316e-05	9.33361771036096e-06	"30/26/13/10/9"	5
"MODULE_24"	"MODULE_24"	"6/19"	"452/38039"	6.48138106766557e-08	3.2725514555896e-05	2.13759643823247e-05	"30/19/18/15/13/12"	6
"REACTOME_BIOLOGICAL_OXIDATIONS"	"REACTOME_BIOLOGICAL_OXIDATIONS"	"5/19"	"221/38039"	6.88378514007067e-08	3.2725514555896e-05	2.13759643823247e-05	"128/26/13/10/9"	5
"chr8p22"	"chr8p22"	"3/19"	"39/38039"	9.54525067859286e-07	0.000378151014383587	0.000247004293875868	"11/10/9"	3
"SMID_BREAST_CANCER_LUMINAL_B_UP"	"SMID_BREAST_CANCER_LUMINAL_B_UP"	"4/19"	"168/38039"	1.35102396995287e-06	0.000410356996283128	0.000268040904952113	"21/18/12/9"	4
"KEGG_ABC_TRANSPORTERS"	"KEGG_ABC_TRANSPORTERS"	"3/19"	"44/38039"	1.38109212043123e-06	0.000410356996283128	0.000268040904952113	"21/20/19"	3
"GO_RESPONSE_TO_ALCOHOL"	"GO_RESPONSE_TO_ALCOHOL"	"4/19"	"235/38039"	5.11653031173463e-06	0.00135133250566591	0.000882676281848957	"20/19/18/15"	4
"HSIAO_LIVER_SPECIFIC_GENES"	"HSIAO_LIVER_SPECIFIC_GENES"	"4/19"	"248/38039"	6.32867202153365e-06	0.00150432533951855	0.000982609603343383	"30/13/12/10"	4
